579,104
576,106
569,107
563,112
564,110
560,110
555,114
549,112
553,105
559,100
565,95
561,90
561,91
555,97
553,97
550,94
546,100
539,103
542,108
539,106
542,125
544,121
547,121
553,125
546,118
550,121
543,117
550,117
544,113
543,108
547,113
554,116
554,109
553,114
550,107
548,104
554,109
548,112
553,106
547,112
544,118
539,116
540,107
547,113
547,107
548,105
541,100
539,82
542,79
539,80
512,59
519,60
516,60
514,60
512,60
511,56
513,54
514,53
514,54
516,49
515,51
513,57
515,58
512,57
514,51
511,48
505,42
507,48
503,53
510,59
516,56
511,58
509,55
514,60
542,120
541,120
548,116
550,110
545,116
545,119
549,116
554,118
548,125
542,121
549,124
544,118
546,118
549,115
555,118
550,112
557,115
561,110
561,107
559,111
555,105
555,107
548,104
546,102
542,104
544,106
545,118
546,112
543,118
540,115
539,124
539,119
543,125
539,130
541,135
545,139
546,142
542,142
548,139
544,135
551,132
548,126
554,131
552,124
549,129
550,128
543,134
539,138
543,139
544,139
542,138
540,133
544,130
547,126
550,122
553,115
553,116
559,120
561,123
555,118
554,117
552,113
551,106
550,110
552,103
553,100
557,104
557,103
563,102
556,101
556,100
559,95
560,95
560,93
566,100
564,106
558,100
558,101
551,102
554,98
559,94
553,87
546,86
546,82
544,87
539,84
540,87
542,90
542,95
545,89
539,95
545,99
543,92
545,92
546,91
541,85
543,78
543,76
550,74
547,73
543,68
